"","answer.keys","n","size","trials_3.thisRepN","participant"
"400","left",1,5,1,"MS"
"401","left",4,5,1,"MS"
"402","left",6,1,1,"MS"
"403","left",1,3,1,"MS"
"404","down",6,2,1,"MS"
"405","down",5,4,1,"MS"
"406","down",6,3,1,"MS"
"407","down",3,5,1,"MS"
"408","down",1,1,1,"MS"
"409","down",5,3,1,"MS"
"410","left",4,3,1,"MS"
"411","left",2,5,1,"MS"
"412","down",2,3,1,"MS"
"413","down",4,1,1,"MS"
"414","down",3,1,1,"MS"
"415","left",3,3,1,"MS"
"416","down",5,5,1,"MS"
"417","down",5,1,1,"MS"
"418","down",4,4,1,"MS"
"419","down",2,4,1,"MS"
"420","down",4,2,1,"MS"
"421","down",2,5,1,"AD"
"422","left",5,5,1,"AD"
"423","left",3,3,1,"AD"
"424","down",3,4,1,"AD"
"425","down",5,3,1,"AD"
"426","down",6,3,1,"AD"
"427","left",6,4,1,"AD"
"428","down",1,1,1,"AD"
"429","left",3,5,1,"AD"
"430","left",6,2,1,"AD"
"431","left",5,4,1,"AD"
"432","right",4,5,1,"AD"
"433","left",2,4,1,"AD"
"434","left",3,1,1,"AD"
"435","left",2,2,1,"AD"
"436","left",6,5,1,"AD"
"437","down",2,3,1,"AD"
"438","down",4,4,1,"AD"
"439","down",6,1,1,"AD"
"440","down",1,2,1,"AD"
"441","down",4,2,1,"AD"
"442","left",5,2,1,"AD"
"443","right",1,3,1,"AD"
"444","left",4,1,1,"AD"
"445","down",2,1,1,"AD"
"446","left",3,2,1,"AD"
"447","down",4,3,1,"AD"
"448","down",1,5,1,"AD"
"449","left",5,1,1,"AD"
"450","down",1,4,1,"AD"
"451","down",4,3,1,"RAA"
"452","down",3,3,1,"RAA"
"453","down",6,5,1,"RAA"
"454","left",3,2,1,"RAA"
"455","left",5,4,1,"RAA"
"456","down",3,4,1,"RAA"
"457","down",4,1,1,"RAA"
"458","left",4,2,1,"RAA"
"459","left",1,5,1,"RAA"
"460","down",2,4,1,"RAA"
"461","left",5,1,1,"RAA"
"462","left",5,5,1,"RAA"
"463","left",6,1,1,"RAA"
"464","down",5,2,1,"RAA"
"465","down",1,4,1,"RAA"
"466","down",5,3,1,"RAA"
"467","down",6,3,1,"RAA"
