"","answer.keys","n","size","trials_3.thisRepN","participant"
"96","down",2,1,1,"KAR"
"97","down",4,4,1,"KAR"
"98","down",4,5,1,"KAR"
"99","left",6,4,1,"KAR"
"100","down",3,3,1,"KAR"
"101","down",6,3,1,"KAR"
"102","down",1,4,1,"KAR"
"103","left",3,4,1,"KAR"
"104","down",1,1,1,"KAR"
"105","down",3,5,1,"KAR"
"106","down",1,2,1,"KAR"
"107","down",5,3,1,"KAR"
"108","down",2,2,1,"KAR"
"109","down",4,2,1,"KAR"
"110","left",3,2,1,"KAR"
"111","down",5,2,1,"KAR"
"112","down",4,1,1,"KAR"
"113","down",2,3,1,"KAR"
"114","down",2,5,1,"LDU"
"115","down",1,1,1,"LDU"
"116","down",6,5,1,"LDU"
"117","down",4,4,1,"LDU"
"118","down",6,3,1,"LDU"
"119","right",4,3,1,"LDU"
"120","down",1,5,1,"LDU"
"121","down",2,3,1,"LDU"
"122","down",6,1,1,"LDU"
"123","down",4,1,1,"LDU"
"124","down",5,2,1,"LDU"
"125","down",5,3,1,"LDU"
"126","down",2,2,1,"LDU"
"127","down",5,1,1,"LDU"
"128","down",5,4,1,"LDU"
"129","right",3,3,1,"LDU"
"130","down",3,2,1,"LDU"
"131","down",3,5,1,"LDU"
"132","down",1,3,1,"LDU"
"133","down",4,5,1,"LDU"
"134","down",6,4,1,"LDU"
"135","down",1,2,1,"LDU"
"136","down",5,5,1,"LDU"
"137","down",6,2,1,"LDU"
"138","down",2,4,1,"LDU"
"139","right",3,4,1,"LDU"
"140","down",4,2,1,"LDU"
"141","down",2,1,1,"LDU"
"142","down",1,4,1,"LDU"
"143","down",3,1,1,"LDU"
"144","right",5,2,1,"MB"
"145","left",4,2,1,"MB"
"146","right",2,3,1,"MB"
"147","down",6,3,1,"MB"
"148","down",6,2,1,"MB"
"149","left",4,4,1,"MB"
"150","right",5,3,1,"MB"
"151","right",2,2,1,"MB"
"152","down",5,1,1,"MB"
"153","right",1,1,1,"MB"
"154","left",2,4,1,"MB"
"155","left",6,4,1,"MB"
"156","down",3,5,1,"MB"
"157","down",5,5,1,"MB"
"158","right",1,2,1,"MB"
"159","right",2,1,1,"MB"
"160","right",6,1,1,"MB"
"161","right",3,4,1,"MB"
"162","right",1,4,1,"MB"
"163","right",3,2,1,"MB"
"164","left",3,3,1,"MB"
"165","right",1,3,1,"MB"
"166","down",5,4,1,"MB"
"167","down",4,1,1,"MB"
"168","right",2,5,1,"MB"
"169","down",3,1,1,"MB"
"170","down",1,5,1,"MB"
"171","down",4,3,1,"MB"
"172","left",4,5,1,"MB"
"173","left",6,5,1,"MB"
"174","down",5,5,1,"MM2"
"175","down",2,4,1,"MM2"
"176","down",4,1,1,"MM2"
"177","down",3,5,1,"MM2"
"178","down",2,5,1,"MM2"
"179","down",6,2,1,"MM2"
"180","down",4,4,1,"MM2"
"181","down",1,5,1,"MM2"
"182","down",3,3,1,"MM2"
"183","down",4,3,1,"MM2"
"184","down",5,4,1,"MM2"
"185","down",6,4,1,"MM2"
"186","down",4,5,1,"MM2"
"187","down",5,1,1,"MM2"
"188","down",1,2,1,"MM2"
"189","down",2,3,1,"MM2"
"190","down",6,5,1,"MM2"
"191","down",2,2,1,"MM2"
"192","down",4,2,1,"MM2"
"193","down",3,4,1,"MM2"
"194","left",5,2,1,"MM2"
"195","down",2,1,1,"MM2"
"196","left",3,1,1,"MM2"
"197","right",6,3,1,"MM2"
"198","down",3,2,1,"MM2"
"199","right",5,3,1,"MM2"
"200","down",6,1,1,"MM2"
"201","right",1,4,1,"MM2"
"202","right",1,3,1,"MM2"
"203","down",1,1,1,"MM2"
"204","down",5,2,1,"MO"
"205","down",6,5,1,"MO"
"206","right",1,2,1,"MO"
"207","down",2,3,1,"MO"
"208","right",5,1,1,"MO"
"209","down",3,5,1,"MO"
"210","down",1,3,1,"MO"
"211","right",2,2,1,"MO"
"212","down",4,2,1,"MO"
"213","left",2,1,1,"MO"
"214","down",2,5,1,"MO"
"215","down",6,4,1,"MO"
"216","down",5,5,1,"MO"
"217","down",5,4,1,"MO"
"218","down",3,2,1,"MO"
"219","left",4,3,1,"MO"
"220","down",3,4,1,"MO"
"221","left",1,5,1,"MO"
"222","left",5,3,1,"MO"
"223","left",4,5,1,"MO"
"224","left",3,3,1,"MO"
"225","left",6,2,1,"MO"
"226","down",3,1,1,"MO"
"227","down",4,1,1,"MO"
"228","down",2,4,1,"MO"
"229","down",1,4,1,"MO"
"230","down",6,3,1,"MO"
"231","down",1,1,1,"MO"
"232","down",6,1,1,"MO"
"233","down",4,4,1,"MO"
"234","down",5,4,1,"MUSs"
"235","down",3,3,1,"MUSs"
"236","down",3,5,1,"MUSs"
"237","down",3,4,1,"MUSs"
"238","down",6,3,1,"MUSs"
"239","down",2,2,1,"MUSs"
"240","down",6,5,1,"MUSs"
"241","down",4,4,1,"MUSs"
"242","down",5,2,1,"MUSs"
"243","down",1,1,1,"MUSs"
"244","right",5,1,1,"MUSs"
"245","down",6,2,1,"MUSs"
"246","down",1,5,1,"MUSs"
"247","down",1,3,1,"MUSs"
"248","left",5,3,1,"MUSs"
"249","left",2,4,1,"MUSs"
"250","down",2,1,1,"MUSs"
"251","down",6,4,1,"MUSs"
"252","down",6,1,1,"MUSs"
"253","down",4,5,1,"MUSs"
"254","down",1,4,1,"MUSs"
"255","down",3,1,1,"MUSs"
"256","down",1,2,1,"MUSs"
"257","down",3,2,1,"MUSs"
"258","down",4,1,1,"MUSs"
"259","down",2,5,1,"MUSs"
"260","down",4,2,1,"MUSs"
"261","down",5,5,1,"MUSs"
"262","down",2,3,1,"MUSs"
"263","down",4,3,1,"MUSs"
"264","down",1,5,1,"PG"
"265","down",1,2,1,"PG"
"266","down",3,4,1,"PG"
"267","down",3,2,1,"PG"
"268","down",2,1,1,"PG"
"269","down",1,3,1,"PG"
"270","down",2,2,1,"PG"
"271","down",3,1,1,"PG"
"272","down",5,3,1,"PG"
"273","left",2,4,1,"PG"
"274","left",3,5,1,"PG"
"275","down",5,1,1,"PG"
"276","down",2,3,1,"PG"
"277","left",6,4,1,"PG"
"278","down",4,1,1,"PG"
"279","left",4,5,1,"PG"
"280","down",1,1,1,"PG"
"281","down",3,3,1,"PG"
"282","left",2,5,1,"PG"
"283","left",5,5,1,"PG"
"284","left",6,2,1,"PG"
"285","left",4,4,1,"PG"
"286","down",1,4,1,"PG"
"287","left",5,2,1,"PG"
"288","left",6,3,1,"PG"
"289","down",6,1,1,"PG"
"290","down",4,2,1,"PG"
"291","down",4,3,1,"PG"
"292","left",6,5,1,"PG"
"293","left",5,4,1,"PG"
"294","down",4,3,1,"PZV"
